설치기관명,소재지도로명주소,전화번호,데이터관리부서,데이터기준일자
안양만안경찰서 안양지구대,경기도 안양시 만안구 병목안로 56(안양동),031-8041-6113,안양시 만안구보건소,2025-12-22
석수1동행정복지센터,경기도 안양시 만안구 경수대로 1252 석수1동 주민센터 (석수동),031-8045-3690,안양시 만안구보건소,2025-12-22
안양7동행정복지센터,경기도 안양시 만안구 덕천로 115 안양7동주민센터 (안양동),031-8045-3922,안양시 만안구보건소,2025-12-22
안양씨엘포레자이아파트,경기도 안양시 만안구 소곡로 78 (안양동),031-360-3771,안양시 만안구보건소,2025-12-22
안양도시공사 박달복합청사,"경기도 안양시 만안구 박달로 470, 박달복합청사 다목적체육관 (박달동)",031-400-7887,안양시 만안구보건소,2025-12-22
안양시배드민턴협회만안배드민턴클럽,"경기도 안양시 만안구 경수대로1001번길 220, 1층 (안양동)",031-477-8756,안양시 만안구보건소,2025-12-22
중부지방국세청안양세무서,"경기도 안양시 만안구 냉천로 83, 안양세무서 (안양동)",031-467-1625,안양시 만안구보건소,2025-12-22
석수경남아너스빌,경기도 안양시 만안구 경수대로1219번길 8 관리사무소,031-473-1294,안양시 만안구보건소,2025-12-22
국제나은병원,경기도 안양시 만안구 안양로223번길 5 (안양동),031-380-8530,안양시 만안구보건소,2025-12-22
원천의료재단중화한방병원,"경기도 안양시 만안구 관악대로 10, 중화한방병원 (안양동)",031-449-0001,안양시 만안구보건소,2025-12-22
효산의료재단안양샘병원,"경기도 안양시 만안구 삼덕로 9, 안양샘병원 (안양동)",031-467-9714,안양시 만안구보건소,2025-12-22
안양중앙시장상인회,경기도 안양시 만안구 냉천로185번길 8 안양 중앙시장 상인회 (안양동),031-447-9961,안양시 만안구보건소,2025-12-22
안양중앙시장고객문화센터2층,경기도 안양시 만안구 냉천로 196 안양중앙시장 고객문화센터 2층 (안양동),031-8045-3633,안양시 만안구보건소,2025-12-22
경기도교육청 율곡연수원 안양교육관,"경기도 안양시 만안구 능곡로 84, 경기도혁신교육연수원 (안양동)",031-469-1543,안양시 만안구보건소,2025-12-22
안양8동행정복지센터,"경기도 안양시 만안구 안양로111번길 17, 안양8동 행정복지센터 1층 (안양동)",031-8045-3670,안양시 만안구보건소,2025-12-22
안양시 만안구보건소,경기도 안양시 만안구 문예로 48,031-8045-3036,안양시 만안구보건소,2025-12-22
안양중앙시장환경사랑나눔의집,경기도 안양시 만안구 냉천로 200 안양중앙시장 환경사랑 나눔의집 (안양동),031-8045-5129,안양시 만안구보건소,2025-12-22
안양일번가지하상가쇼핑몰,경기도 안양시 만안구 만안로 지하 231 안양일번가 지하상가 쇼핑몰 (안양동),031-463-9000,안양시 만안구보건소,2025-12-22
박달시장상인회,경기도 안양시 만안구 양화로 132-3 박달시장상인회 (박달동),031-469-2660,안양시 만안구보건소,2025-12-22
안양1동주민센터,경기도 안양시 만안구 장내로 170 안양1동 주민센터 (안양동),031-8045-3765,안양시 만안구보건소,2025-12-22
안양9동주민센터,경기도 안양시 만안구 병목안로142번길 12-9 안양9동주민센터 (안양동),031-8045-3680,안양시 만안구보건소,2025-12-22
안양역,경기도 안양시 만안구 만안로 232 안양역사 (안양동),031-448-7788,안양시 만안구보건소,2025-12-22
안양프라자아파트,"경기도 안양시 만안구 병목안로 103  (안양동, 프라자아파트)",031-449-1994,안양시 만안구보건소,2025-12-22
안양5동행정복지센터,경기도 안양시 만안구 냉천로157번길 18  (안양동),031-8045-3644,안양시 만안구보건소,2025-12-22
안양4동행정복지센터,경기도 안양시 만안구 냉천로193번길 34 안양4동 주민센터 (안양동),031-8045-3638,안양시 만안구보건소,2025-12-22
안양서중학교,경기도 안양시 만안구 창박로 26  (안양동),031-447-1146,안양시 만안구보건소,2025-12-22
안양시만안종합사회복지관,경기도 안양시 만안구 박달로 547-1,1877-9701,안양시 만안구보건소,2025-12-22
안양3동행정복지센터,경기도 안양시 만안구 양화로 28,031-8045-3620,안양시 만안구보건소,2025-12-22
만안도서관,경기도 안양시 만안구 냉천로 51 만안도서관,031-8045-6152,안양시 만안구보건소,2025-12-22
한라비발디아파트,경기도 안양시 만안구 박달로 453,031-464-0053,안양시 만안구보건소,2025-12-22
박달우성아파트,경기도 안양시 만안구 박달로498번길 28,031-466-7200,안양시 만안구보건소,2025-12-22
박달도서관,경기도 안양시 만안구 박달로 459 박달도서관,031-8045-6181,안양시 만안구보건소,2025-12-22
삼덕도서관,경기도 안양시 만안구 병목안로 58 삼덕도서관,031-8045-6362,안양시 만안구보건소,2025-12-22
석수도서관,경기도 안양시 만안구 양화로217번길 34 석수도서관,031-8045-6115,안양시 만안구보건소,2025-12-22
중부지방고용노동청안양지청안양고용센터,경기도 안양시 만안구 안양로 303 4층,031-463-0702,안양시 만안구보건소,2025-12-22
안양만안경찰서,"경기도 안양시 만안구 냉천로 63, 안양만안경찰서 (안양동)",031-8041-6321,안양시 만안구보건소,2025-12-22
석수두산위브아파트,경기도 안양시 만안구 연현로79번길 20,031-471-0617,안양시 만안구보건소,2025-12-22
래미안안양메가트리아,"경기도 안양시 만안구 안양천서로 177 (안양동, 래미안 안양 메가트리아)",031-441-4250,안양시 만안구보건소,2025-12-22
중부지방고용노동청안양지청,경기도 안양시 만안구 전파로44번길 73,031-463-7385,안양시 만안구보건소,2025-12-22
석수현대아파트,경기도 안양시 만안구 안양로532번길 12,031-472-1962,안양시 만안구보건소,2025-12-22
박달벽산아파트,경기도 안양시 만안구 양화로135번길 45 (박달동) 벽산아파트,031-466-1056,안양시 만안구보건소,2025-12-22
대림한숲타운아파트,경기도 안양시 만안구 박달로 344 (박달동) 대림한숲타운아파트,031-342-2230,안양시 만안구보건소,2025-12-22
율목종합사회복지관,경기도 안양시 만안구 병목안로130번길 166,031-466-9125,안양시 만안구보건소,2025-12-22
병목안시민공원,"경기도 안양시 만안구 병목안로 215, 병목안시민공원관리사무소 (안양동)",031-80455509,안양시 만안구보건소,2025-12-22
석수엘지빌리지,"경기도 안양시 만안구 연현로79번길 84 (석수동, 석수 엘지 빌리지)",031-474-1872,안양시 만안구보건소,2025-12-22
석수아이파크아파트,"경기도 안양시 만안구 충훈로 51 (석수동, 석수아이파크)",031-474-3330,안양시 만안구보건소,2025-12-22
박달금호아파트,"경기도 안양시 만안구 삼봉로 61 (박달동, 금호타운)",031-444-4908,안양시 만안구보건소,2025-12-22
관악장애인종합복지관,"경기도 안양시 만안구 경수대로 1132, 장애인종합복지회관 (안양동)",031-472-7774,안양시 만안구보건소,2025-12-22
(주)다굼," 경기도 안양시 동안구 흥안대로 94, 2층 (호계동, 리치밸리)",031-466-7747,안양시 동안구보건소,2025-12-22
(주)서울매일버스, 경기도 안양시 동안구 평촌대로 452(비산동),031-388-5718,안양시 동안구보건소,2025-12-22
(주)오뚜기안양공장," 경기도 안양시 동안구 흥안대로 405, 오뚜기식품 (평촌동)",031-421-2122,안양시 동안구보건소,2025-12-22
(주)오상헬스케어," 경기도 안양시 동안구 안양천동로 132, (주)오상헬스케어 (호계동)",031-460-0338,안양시 동안구보건소,2025-12-22
(주)이마트평촌점," 경기도 안양시 동안구 시민대로 300, 이마트평촌점 (관양동)",031-687-1052,안양시 동안구보건소,2025-12-22
(주)이오테크닉스," 경기도 안양시 동안구 동편로 91, (주)이오테크닉스 (관양동)",031-420-2999,안양시 동안구보건소,2025-12-22
(주)효성안양공장," 경기도 안양시 동안구 시민대로 74, (주)효성안양공장 (호계동)",031-428-1188,안양시 동안구보건소,2025-12-22
GS25관양본점, 경기도 안양시 동안구 관악대로287번길 77 (관양동),,안양시 동안구보건소,2025-12-22
GS25뉴관양대성점," 경기도 안양시 동안구 일동로200번길 40, 중촌번영회 (관양동)",,안양시 동안구보건소,2025-12-22
GS25안양사랑점, 경기도 안양시 동안구 관평로358번길 45 (관양동),,안양시 동안구보건소,2025-12-22
GS건설평촌자이퍼스니티현장," 경기도 안양시 동안구 동안로 271 (비산동, 뉴타운아파트)",02-2154-4860,안양시 동안구보건소,2025-12-22
KT안양지사," 경기도 안양시 동안구 평촌대로 243, KT안양지사 (비산동)",,안양시 동안구보건소,2025-12-22
LGU+평촌메가센터, 경기도 안양시 동안구 시민대로327번길 29(관양동),02-2086-2440,안양시 동안구보건소,2025-12-22
LS일렉트릭R&D캠퍼스," 경기도 안양시 동안구 엘에스로116번길 40, LSIS R&D Campus (호계동)",031-8090-7114,안양시 동안구보건소,2025-12-22
LS전선," 경기도 안양시 동안구 엘에스로 127, LS타워 (호계동)",02-2189-9641,안양시 동안구보건소,2025-12-22
공작럭키아파트," 경기도 안양시 동안구 학의로 168 (관양동,공작럭키아파트)",031-383-4491,안양시 동안구보건소,2025-12-22
공작부영2차아파트," 경기도 안양시 동안구 관평로212번길 21 (관양동,공작부영2차아파트)",031-382-4814,안양시 동안구보건소,2025-12-22
공작성일아파트," 경기도 안양시 동안구 달안로 153 (관양동, 공작성일아파트)",031-382-6816,안양시 동안구보건소,2025-12-22
관악부영4차아파트," 경기도 안양시 동안구 학의로 46 (비산동,관악부영아파트)",031-381-6446,안양시 동안구보건소,2025-12-22
관악성원아파트," 경기도 안양시 동안구 동안로 209 (비산동, 관악성원아파트)",031-381-5931,안양시 동안구보건소,2025-12-22
관악타운," 경기도 안양시 동안구 학의로 20 (비산동, 관악아파트)",031-382-1696,안양시 동안구보건소,2025-12-22
관양1동행정복지센터," 경기도 안양시 동안구 관평로358번길 46, 관양1동 행정복지센터 (관양동)",031-8045-4652,안양시 동안구보건소,2025-12-22
관양2동주민센터, 경기도 안양시 동안구 관양로 215 관양2동주민센터 (관양동),031-8045-4664,안양시 동안구보건소,2025-12-22
관양도서관, 경기도 안양시 동안구 동편로 124 관양도서관,031-8045-6331,안양시 동안구보건소,2025-12-22
관양시장, 경기도 안양시 동안구 관평로336번길 31 관양시장문화센터 (관양동),031-386-5577,안양시 동안구보건소,2025-12-22
관양초등학교, 경기도 안양시 동안구 관평로336번길 23 관양초등학교 (관양동),031-340-4073,안양시 동안구보건소,2025-12-22
관양현대아파트," 경기도 안양시 동안구 관평로 333 (관양동, 현대아파트)",031-384-8138,안양시 동안구보건소,2025-12-22
국민건강보험공단안양지사," 경기도 안양시 동안구 관평로 182, 국민건강보험공단 안양지사 (관양동)",031-479-9712,안양시 동안구보건소,2025-12-22
귀인동주민센터," 경기도 안양시 동안구 부림로 16 (평촌동,귀인동주민센터) (평촌동)",031-8045-4702,안양시 동안구보건소,2025-12-22
귀인중학교, 경기도 안양시 동안구 귀인로190번길 114 귀인중학교(평촌동),031-478-2800,안양시 동안구보건소,2025-12-22
귀인초등학교, 경기도 안양시 동안구 귀인로 248 귀인초등학교 (평촌동),031-382-0772,안양시 동안구보건소,2025-12-22
귀인현대홈타운아파트," 경기도 안양시 동안구 귀인로 208 (평촌동, 귀인마을현대홈타운)",031-385-1886,안양시 동안구보건소,2025-12-22
그린재활의학과병원," 경기도 안양시 동안구 시민대로 311, 금강스마트빌딩 (관양동)",031-421-9600,안양시 동안구보건소,2025-12-22
꿈마을라이프아파트," 경기도 안양시 동안구 귀인로 258 (평촌동,꿈마을라이프아파트)",031-381-4437,안양시 동안구보건소,2025-12-22
꿈마을한신아파트," 경기도 안양시 동안구 관평로 68 (평촌동,꿈마을한신아파트)",031-383-8554,안양시 동안구보건소,2025-12-22
농어촌자원개발원, 경기도 안양시 동안구 부림로169번길 22 농어촌자원개발원 (관양동),031-8084-9516,안양시 동안구보건소,2025-12-22
달안동주민센터, 경기도 안양시 동안구 달안로 65 달안동주민센터 (비산동),031-8045-4339,안양시 동안구보건소,2025-12-22
대림대학교," 경기도 안양시 동안구 임곡로 29, 대림대학교 (비산동)",031-467-4700,안양시 동안구보건소,2025-12-22
대안여자중학교, 경기도 안양시 동안구 흥안대로223번길 46 대안여자중학교 (호계동),031-458-1998,안양시 동안구보건소,2025-12-22
대안중학교," 경기도 안양시 동안구 흥안대로249번길 25 (호계동,대안중학교)",031-451-1983,안양시 동안구보건소,2025-12-22
더포레스트힐아파트, 경기도 안양시 동안구 임곡로 43 임곡그린빌아파트 (비산동),031-347-8857,안양시 동안구보건소,2025-12-22
동안고등학교," 경기도 안양시 동안구 부림로 71, 동안고등학교 (평촌동)",031-463-8157,안양시 동안구보건소,2025-12-22
경기도 안양시 동안구노인복지회관," 경기도 안양시 동안구 동안로 151, 경기도 안양시 동안구노인복지회관 (비산동)",031-8045-6051,안양시 동안구보건소,2025-12-22
경기도 안양시 동안구보건소, 경기도 안양시 동안구 평촌대로253번길 41 경기도 안양시 동안구보건소 (비산동),031-8045-4423,안양시 동안구보건소,2025-12-22
동안초등학교," 경기도 안양시 동안구 관평로138번길 36, 동안초등학교 (평촌동)",031-384-8471,안양시 동안구보건소,2025-12-22
동편마을1단지아파트," 경기도 안양시 동안구 동편로 120 (관양동,동편마을)",031-422-7966,안양시 동안구보건소,2025-12-22
동편마을2단지아파트," 경기도 안양시 동안구 동편로 80 (관양동,동편마을2단지)",031-421-4629,안양시 동안구보건소,2025-12-22
동편마을3단지아파트," 경기도 안양시 동안구 동편로 110 (관양동,동편마을3단지)",031-424-5568,안양시 동안구보건소,2025-12-22
동편마을4단지아파트," 경기도 안양시 동안구 동편로 135 (관양동,동편마을4단지)",031-426-9044,안양시 동안구보건소,2025-12-22
래미안인덕원더포인트아파트," 경기도 안양시 동안구 흥안대로456번길 66 (평촌동, 래미안인덕원더포인트)",031-421-1798,안양시 동안구보건소,2025-12-22
롯데쇼핑, 경기도 안양시 동안구 시민대로 180 롯데백화점 (호계동),031-8086-1429,안양시 동안구보건소,2025-12-22
목련3단지우성아파트," 경기도 안양시 동안구 귀인로 157 호계동,목련우성3차아파트",031-381-0933,안양시 동안구보건소,2025-12-22
목련5단지우성아파트," 경기도 안양시 동안구 평촌대로179번길 30 호계동,목련우성아파트",031-383-0204,안양시 동안구보건소,2025-12-22
목련8단지동아경남아파트," 경기도 안양시 동안구 동안로 57 (호계동, 목련 동아,경남아파트)",031-382-1250,안양시 동안구보건소,2025-12-22
목련9단지신동아아파트," 경기도 안양시 동안구 동안로 75 (호계동,목련신동아아파트)",031-385-2733,안양시 동안구보건소,2025-12-22
무궁화경남아파트," 경기도 안양시 동안구 귀인로172번길 22 (호계동, 무궁화경남아파트)",031-386-5777,안양시 동안구보건소,2025-12-22
무궁화진흥아파트," 경기도 안양시 동안구 동안로 6 호계동,무궁화진흥아파트",031-381-4676,안양시 동안구보건소,2025-12-22
무궁화코오롱아파트," 경기도 안양시 동안구 동안로 11 (호계동, 무궁화코오롱,건영아파트)",031-381-5605,안양시 동안구보건소,2025-12-22
무궁화태영아파트," 경기도 안양시 동안구 경수대로610번길 37 (호계동, 무궁화아파트)",031-429-4743,안양시 동안구보건소,2025-12-22
무궁화효성한양아파트," 경기도 안양시 동안구 동안로 35 (호계동, 무궁화 효성,한양아파트)",031-382-3881,안양시 동안구보건소,2025-12-22
미륭아파트," 경기도 안양시 동안구 관악대로 164 (비산동, 미륭아파트)",031-385-7475,안양시 동안구보건소,2025-12-22
민백초등학교," 경기도 안양시 동안구 부림로 22, 민백초등학교 (평촌동)",070-7114-2109,안양시 동안구보건소,2025-12-22
벌말초등학교, 경기도 안양시 동안구 학의로408번길 25 벌말초등학교 (평촌동),031-424-4161,안양시 동안구보건소,2025-12-22
범계동주민센터, 경기도 안양시 동안구 평촌대로217번길 63 범계동주민센터 (호계동),031-8045-4744,안양시 동안구보건소,2025-12-22
범계역, 경기도 안양시 동안구 동안로 지하 130 범계역(호계동),031-384-7788,안양시 동안구보건소,2025-12-22
범계초등학교," 경기도 안양시 동안구 동안로 90, 범계초등학교 (호계동)",031-383-7235,안양시 동안구보건소,2025-12-22
봄빛병원," 경기도 안양시 동안구 평촌대로211번길 26, 봄빛병원 (호계동)",031-380-7301,안양시 동안구보건소,2025-12-22
부림동행정복지센터," 경기도 안양시 동안구 달안로 154, 부림동주민센터 (관양동)",031-8045-4117,안양시 동안구보건소,2025-12-22
부림중학교, 경기도 안양시 동안구 달안로 95 부림중학교 (관양동),031-381-0228,안양시 동안구보건소,2025-12-22
부안중학교, 경기도 안양시 동안구 달안로 170 부안중학교 (관양동),031-387-4031,안양시 동안구보건소,2025-12-22
부안초등학교, 경기도 안양시 동안구 달안로 113 부안초등학교 (관양동),031-8086-4781,안양시 동안구보건소,2025-12-22
부흥동주민센터, 경기도 안양시 동안구 경수대로 813 (호계동),031-8045-4072,안양시 동안구보건소,2025-12-22
비산꿈에그린아파트," 경기도 안양시 동안구 경수대로883번길 33 (비산동, 비산한화꿈에그린아파트)",031-469-7301,안양시 동안구보건소,2025-12-22
비산도서관," 경기도 안양시 동안구 관악대로 123, 안양시립비산도서관 (비산동)",031-8045-6231,안양시 동안구보건소,2025-12-22
비산롯데캐슬," 경기도 안양시 동안구 관악대로106번길 72 (비산동, 비산롯데캐슬)",031-476-0955,안양시 동안구보건소,2025-12-22
비산삼성래미안," 경기도 안양시 동안구 관악대로 135 (비산동, 비산 삼성 래미안)",031-468-2200,안양시 동안구보건소,2025-12-22
비산중학교," 경기도 안양시 동안구 평촌대로427번길 42, 비산중학교 (비산동)",031-8084-9388,안양시 동안구보건소,2025-12-22
비산힐스테이트아파트," 경기도 안양시 동안구 안양천동로 162 (비산동,비산힐스테이트아파트)",031-447-2700,안양시 동안구보건소,2025-12-22
샘마을쌍용아파트," 경기도 안양시 동안구 흥안대로223번길 16(호계동, 샘마을)",031-429-7897,안양시 동안구보건소,2025-12-22
샘마을한양대우아파트," 경기도 안양시 동안구 흥안대로223번길 47 (호계동,샘마을대우,한양아파트)",031-341-2141,안양시 동안구보건소,2025-12-22
샛별1차한양아파트," 경기도 안양시 동안구 달안로 62 (비산동,샛별한양아파트)",031-381-0156,안양시 동안구보건소,2025-12-22
